Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Injury_Duration,Injury_Severity,Avg_Rating_Before_Injury,Avg_Rating_After_Return,Performance_Impact,Form_Before_Injury,Form_After_Return,Form_Impact,Total_Injuries,Unique_Injury_Types,Avg_Injury_Duration,Total_Days_Injured,Injury_Duration_Std,Severe_Injuries,Injury_Frequency,Pre_Injury_GD_Trend,Pre_Injury_GD_Volatility,Team_Performance_During_Absence,Recent_Opposition_Strength,Age_Risk_Score,Position_Risk_Score,History_Risk_Score,Overall_Risk_Score,Club
Jamaal Lascelles,Newcastle,Center Back,26,2019/20,77,Knee injury,2019-11-09,2020-01-13,draw,Wolves,0.0,7.4,win,West Ham,1.0,6.1,win,Bournemouth,1.0,5.8,lose,Aston Villa,-2.0,draw,Man City,0.0,win,Sheffield,2.0,win,Chelsea,1,7.1,draw,Everton,0,6.2,draw,Norwich City,0,6.7,65.0,Severe,6.433333333333334,6.666666666666667,0.2333333333333334,2.333333333333333,1.6666666666666667,-0.6666666666666667,7,7,32.142857142857146,225.0,26.200690648839597,1,11.305309734513274,0.6666666666666666,0.5773502691896258,0.0,3,0.4,0.8,0.6491592920353982,0.6245796460176991,Newcastle United
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Knee injury,2019-10-20,2019-11-24,lose,Leicester,-5.0,5.8,win,Man United,1.0,7.5,lose,Chelsea,-1.0,6.1,draw,Wolves,0.0,win,West Ham,1.0,win,Bournemouth,1.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,35.0,Major,6.466666666666666,,,1.0,,,8,6,32.125,257.0,28.462694882951613,2,11.317829457364342,-1.6666666666666667,3.055050463303893,0.6666666666666666,3,0.5333333333333333,0.8,0.7195348837209303,0.6931007751937985,Newcastle United
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Hamstring strain,2020-01-02,2020-01-17,lose,Man United,-3.0,4.9,lose,Everton,-1.0,7.7,lose,Leicester,-3.0,5.6,draw,Wolves,0.0,N.A.,N.A.,,N.A.,N.A.,,draw,Everton,0,6.0,lose,Arsenal,-4,,lose,Crystal Palace,-1,6.5,15.0,Moderate,6.066666666666667,6.25,0.1833333333333326,0.0,0.3333333333333333,0.3333333333333333,8,6,32.125,257.0,28.462694882951613,2,11.317829457364342,-2.333333333333333,1.1547005383792517,0.0,4,0.5333333333333333,0.8,0.7195348837209303,0.6931007751937985,Newcastle United
Fabian Schär,Newcastle,Center Back,28,2019/20,79,Shoulder injury,2020-07-16,2020-09-28,lose,Man City,-5.0,5.2,lose,Watford,-1.0,6.3,lose,Tottenham,-2.0,6.3,draw,Brighton,0.0,lose,Liverpool,-2.0,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,74.0,Severe,5.933333333333334,,,0.0,,,8,6,32.125,257.0,28.462694882951613,2,11.317829457364342,-2.6666666666666665,2.081665999466133,-1.0,5,0.5333333333333333,0.8,0.7195348837209303,0.6931007751937985,Newcastle United
Paul Dummett,Newcastle,Center Back,28,2019/20,75,Groin injury,2019-12-22,2020-01-10,win,Southampton,2.0,5.8,lose,Burnley,-1.0,6.0,win,Crystal Palace,1.0,6.2,lose,Man United,-3.0,lose,Everton,-1.0,lose,Leicester,-3.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,19.0,Moderate,6.0,,,2.0,,,2,2,88.0,176.0,97.58073580374356,1,4.124293785310734,0.6666666666666666,1.5275252316519463,-2.333333333333333,2,0.5333333333333333,0.8,0.233728813559322,0.4501977401129944,Newcastle United
Ciaran Clark,Newcastle,Center Back,30,2019/20,75,Calf injury,2019-12-09,2020-01-10,draw,Man City,0.0,6.0,win,Sheffield,2.0,6.4,win,Southampton,1.0,6.4,lose,Burnley,-1.0,win,Crystal Palace,1.0,lose,Man United,-3.0,draw,Wolves,0,6.5,win,Chelsea,1,6.9,draw,Everton,0,6.3,32.0,Major,6.266666666666667,6.566666666666666,0.2999999999999998,2.333333333333333,1.6666666666666667,-0.6666666666666667,4,3,65.75,263.0,97.38711413734366,1,5.53030303030303,1.0,1.0,-1.0,5,0.6666666666666666,0.8,0.3559090909090909,0.5446212121212122,Newcastle United
Ciaran Clark,Newcastle,Center Back,30,2019/20,75,Ankle injury,2020-02-16,2020-09-14,draw,Everton,0.0,6.3,draw,Norwich City,0.0,7.0,lose,Arsenal,-4.0,5.6,lose,Crystal Palace,-1.0,draw,Burnley,0.0,win,Southampton,1.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,211.0,Severe,6.3,,,0.6666666666666666,,,4,3,65.75,263.0,97.38711413734366,1,5.53030303030303,-1.3333333333333333,2.309401076758504,0.0,2,0.6666666666666666,0.8,0.3559090909090909,0.5446212121212122,Newcastle United
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Knee injury,2019-09-22,2019-10-05,draw,Watford,0.0,6.7,lose,Liverpool,-2.0,6.5,draw,Brighton,0.0,6.3,lose,Leicester,-5.0,N.A.,N.A.,,N.A.,N.A.,,win,Man United,1,7.7,lose,Chelsea,-1,6.2,draw,Wolves,0,6.5,13.0,Moderate,6.5,6.8,0.2999999999999998,0.6666666666666666,1.3333333333333333,0.6666666666666666,3,2,89.66666666666667,269.0,135.39694728217964,1,4.055555555555555,-0.6666666666666666,1.1547005383792517,-5.0,2,0.4,0.7,0.2716666666666666,0.4108333333333334,Eintracht Frankfurt
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Knee injury,2019-12-15,2019-12-25,win,Sheffield,2.0,6.0,win,Southampton,-1.0,5.8,lose,Burnley,-1.0,6.2,win,Crystal Palace,1.0,N.A.,N.A.,,N.A.,N.A.,,lose,Man United,-3,6.0,lose,Everton,-1,6.8,lose,Leicester,-3,5.8,10.0,Moderate,6.0,6.2,0.2000000000000001,2.0,0.0,-2.0,3,2,89.66666666666667,269.0,135.39694728217964,1,4.055555555555555,0.0,1.7320508075688772,1.0,1,0.4,0.7,0.2716666666666666,0.4108333333333334,Eintracht Frankfurt
Jetro Willems,Newcastle,Left Back,26,2019/20,77,Cruciate ligament tear,2020-01-18,2020-09-20,lose,Leicester,-3.0,5.8,draw,Wolves,0.0,6.3,win,Chelsea,1.0,6.1,draw,Everton,0.0,draw,Norwich City,0.0,lose,Arsenal,-4.0,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,N.A.,N.A.,N.A.,,246.0,Severe,6.066666666666666,,,1.3333333333333333,,,3,2,89.66666666666667,269.0,135.39694728217964,1,4.055555555555555,-0.6666666666666666,2.081665999466133,-1.3333333333333333,3,0.4,0.7,0.2716666666666666,0.4108333333333334,Eintracht Frankfurt
